Title,URL,div_content
JioAirFiber introduces additional data boosters for users starting at ₹101,https://www.cnbctv18.com/technology/jioairfiber-introduces-additional-data-boosters-for-users-starting-at-101-18960061.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
"Jio cements market lead, adds 34.5 lakh mobile subscribers in November: TRAI data",https://www.cnbctv18.com/telecom/trai-data-jio-market-lead-mobile-subscribers-november-bharti-airtel-vodafone-idea-18919211.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
"Reliance Jio adds 11.2 million subscribers, the most in 10 quarters",https://www.cnbctv18.com/earnings/reliance-jio-q3-result-telco-profit-rises-3-to-5208-crore-revenue-at-25368-crore-in-dec-quarter-18846731.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
"Reliance Jio Q3 results preview: 10 mn subscribers addition to drive growth in Dec quarter, say analysts",https://www.cnbctv18.com/earnings/reliance-jio-q3-results-preview-10-mn-subscribers-addition-to-drive-growth-in-dec-quarter-say-analysts-18835041.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
Reliance JioCinema signs up Pokemon in kids entertainment push: Reuters report,https://www.cnbctv18.com/entertainment/reliance-jiocinema-signs-up-pokemon-in-kids-entertainment-push-reuters-report-18335981.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
Reliance Jio launches prepaid plan bundled with Swiggy One Lite subscription — check all details,https://www.cnbctv18.com/business/companies/reliance-jio-launches-prepaid-plan-bundled-with-swiggy-one-lite-subscription--check-all-details-18274471.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
Jio institute hosts knowledge exchange event 'Convergence-2023' in Singapore,https://www.cnbctv18.com/education/jio-institute-hosts-knowledge-exchange-event-convergence-2023-in-singapore-18254621.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
Analysts see up to 32% upside in Reliance Industries stock after its results — Here's why,https://www.cnbctv18.com/market/stocks/reliance-industries-top-nifty-gainer-on-strong-retail-and-jio-growth-analysts-see-up-to-32-upside-in-stock-18184801.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
"Reliance Jio Q2 result: Profit rises 4% to ₹5,058 crore, revenue at ₹24,750 crore",https://www.cnbctv18.com/earnings/reliance-jio-q2-result-profit-rises-revenue-for-september-quarter-18171651.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
"Reliance Jio launches Jio SpaceFiber, India’s first satellite-based gigafiber internet service",https://www.cnbctv18.com/technology/reliance-jio-spacefiber-india-first-satellite-based-gigafiber-internet-service-india-mobile-congress-2023-18165571.htm,"['Check out our in-depthMarket Coverage,Business News& get real-timeStock MarketUpdates on CNBC-TV18. Also, Watch  our channelsCNBC-TV18,CNBC AwaazandCNBC BajarLive on-the-go!']"
